Ref,Val,Package,PosX,PosY,Rot,Side
"C5","10uF","C_0805_2012Metric",111.450000,-141.250000,-90.000000,top
"C6","100nF","C_0603_1608Metric",109.450000,-141.450000,-90.000000,top
"C7","4.7uF","C_0805_2012Metric",71.000000,-125.450000,180.000000,top
"C8","10uF","C_0805_2012Metric",111.450000,-137.750000,90.000000,top
"C9","100nF","C_0603_1608Metric",70.800000,-123.650000,0.000000,top
"C10","4.7uF","C_0805_2012Metric",65.750000,-121.500000,90.000000,top
"C11","100nF","C_0603_1608Metric",67.700000,-121.250000,-90.000000,top
"C12","100nF","C_0603_1608Metric",100.950000,-112.200000,90.000000,top
"C13","100nF","C_0603_1608Metric",99.200000,-104.450000,90.000000,top
"C14","4.7uF","C_0805_2012Metric",95.000000,-107.600000,0.000000,top
"C15","100nF","C_0603_1608Metric",56.900000,-78.650000,90.000000,top
"C16","4.7uF","C_0805_2012Metric",58.900000,-78.550000,-90.000000,top
"C17","100nF","C_0603_1608Metric",86.400000,-142.050000,-90.000000,top
"C18","100nF","C_0603_1608Metric",85.750000,-137.850000,90.000000,top
"C19","100nF","C_0603_1608Metric",118.450000,-104.750000,0.000000,top
"C20","1uF","C_0603_1608Metric",72.600000,-93.900000,180.000000,top
"C21","100nF","C_0603_1608Metric",85.300000,-92.800000,-90.000000,top
"C22","100nF","C_0603_1608Metric",117.250000,-69.800000,-90.000000,top
"C23","100nF","C_0603_1608Metric",91.550000,-70.050000,-90.000000,top
"C28","10uF","C_0805_2012Metric",87.300000,-70.000000,-90.000000,top
"C29","100nF","C_0603_1608Metric",97.370000,-73.700000,180.000000,top
"C30","22uF","C_0805_2012Metric",106.710000,-71.250000,-90.000000,top
"C31","22uF","C_0805_2012Metric",103.700000,-71.250000,-90.000000,top
"D2","SP0503BAHTG","SOT-143",62.000000,-123.000000,0.000000,top
"D5","SP0503BAHTG","SOT-143",138.750000,-138.300000,-90.000000,top
"D7","SS14","D_SMA",79.400000,-63.700000,180.000000,top
"D8","SS14","D_SMA",79.400000,-70.100000,180.000000,top
"D9","SS14","D_SMA",79.450000,-76.650000,180.000000,top
"FB1","600R@100MHz","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",95.050000,-105.350000,180.000000,top
"J3","USB_UART0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",54.365000,-119.600000,-90.000000,top
"J16","USB_NATIVO","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",133.100000,-146.135000,0.000000,top
"L2","4.7uH","L_Changjiang_FXL0530",98.680000,-77.750000,0.000000,top
"Q3","SS8050","SOT-23",79.650000,-119.300000,0.000000,top
"Q4","SS8050","SOT-23",79.550000,-124.750000,0.000000,top
"R1","10k","R_0603_1608Metric",134.025000,-58.100000,180.000000,top
"R2","4.7k","R_0603_1608Metric",83.400000,-141.250000,0.000000,top
"R3","4.7k","R_0603_1608Metric",83.450000,-139.500000,0.000000,top
"R4","5.1k","R_0603_1608Metric",62.650000,-114.350000,0.000000,top
"R5","5.1k","R_0603_1608Metric",62.450000,-126.000000,0.000000,top
"R6","22.1k","R_0603_1608Metric",68.750000,-127.300000,0.000000,top
"R7","47.5k","R_0603_1608Metric",74.050000,-127.300000,0.000000,top
"R8","10k","R_0603_1608Metric",76.000000,-116.150000,0.000000,top
"R9","10k","R_0603_1608Metric",76.100000,-118.900000,0.000000,top
"R10","1k","R_0603_1608Metric",72.600000,-129.800000,0.000000,top
"R11","330","R_0603_1608Metric",85.100000,-135.000000,180.000000,top
"R12","10k","R_0603_1608Metric",73.650000,-134.975000,-90.000000,top
"R13","10k","R_0603_1608Metric",101.750000,-104.450000,-90.000000,top
"R14","10k","R_0603_1608Metric",95.900000,-109.800000,0.000000,top
"R15","10k","R_0603_1608Metric",106.900000,-107.400000,-90.000000,top
"R16","10k","R_0603_1608Metric",101.650000,-88.800000,90.000000,top
"R17","4.7k","R_0603_1608Metric",95.100000,-119.800000,90.000000,top
